text,label
Set a timer for 15 minutes,6
Open Facebook now,4
Set a countdown for 30 minutes,6
Please can you play the latest hits? now,8
Please fetch my contact information for emily now,2
Start playing my favorite playlist,8
Please remind me to call mom tomorrow at 9 PM,1
Set a reminder for my doctor's appointment at 10 AM,1
Set an alarm for 7 AM,0
Please find jane's phone number,2
Please what's on my calendar for today?,7
Please i need to call my sister now,3
Please set an alarm for 8 pm,0
Please make a call to sarah now,3
Please set an alarm for 8 pm now,0
Fetch my contact information for Emily,2
Make a call to Sarah,3
What's on my calendar for today?,7
Please do i have a contact named david? now,2
Please can you play the latest hits? now,8
Start Spotify now,4
Set a timer for 15 minutes,6
Please play music on spotify,8
Please set a timer for 15 minutes,6
Please set an alarm for 12 noon,0
Please call john,3
Please i need an alarm for 5:45 am,0
Please send a message to john,5
Start playing my favorite playlist now,8
Open Google Maps now,4
Set an alarm for 7 AM,0
Please make a call to sarah,3
Start Spotify now,4
Put on some relaxing music,8
I need an alarm for 5:45 AM now,0
Send an email to Sarah now,5
Please can you email james about the meeting? now,5
What is Sarah's number?,2
Send an email to Sarah now,5
Please i need to call my sister now,3
What is Sarah's number? now,2
Put on some relaxing music,8
Set an alarm for 12 noon now,0
Who is John in my contacts? now,2
Please i need the notes app to be opened,4
Fetch my contact information for Emily,2
Please please remind me to call mom tomorrow at 9 pm,1
Please i need an alarm for 5:45 am,0
I need to call my sister now,3
Please launch instagram,4
Open the weather app now,4
Set a reminder to check the oven in 15 minutes now,1
Please fetch my contact information for emily,2
I need the notes app to be opened,4
Set a reminder to check the oven in 15 minutes now,1
Start Spotify,4
Please can you dial david's number? now,3
Call John,3
Send a message to John now,5
Please launch youtube,4
Please send a message to john,5
Call mom right now,3
Remind me to take my medicine tonight,1
Open Facebook,4
Please i need the notes app to be opened,4
Who is John in my contacts? now,2
Set a countdown for 30 minutes now,6
Send an email to Sarah,5
Please show my appointments for this month,7
Set an alarm for 7 AM,0
Please can you set a timer for 10 minutes?,6
Open the weather app,4
Set an alarm for 12 noon,0
Fetch my contact information for Emily now,2
I need to call my sister now,3
Play music on Spotify,8
Please open facebook now,4
Who is John in my contacts?,2
I need the notes app to be opened,4
Find Jane's phone number,2
Please launch youtube,4
Open Facebook,4
I need the notes app to be opened,4
Remind me to buy groceries at 5 PM now,1
Please open facebook now,4
Set a reminder for my doctor's appointment at 10 AM,1
Please open the weather app,4
