user_intents
Sentence,Intent
Set an alarm for 6:00 AM.,Setting Alarms
Can you wake me up at 8 AM tomorrow?,Setting Alarms
"I need an alarm for 7:30 in the morning, please.",Setting Alarms
Please set an alarm for 3 PM on Friday.,Setting Alarms
Wake me up at noon tomorrow.,Setting Alarms
Can you remind me at 5 PM today?,Setting Alarms
Set an alarm for 9:15 AM next Tuesday.,Setting Alarms
Please wake me up at 7 AM tomorrow morning.,Setting Alarms
"Set an alarm for 10:30 in the morning, but only on weekdays.",Setting Alarms
Remind me at 6:45 PM to pick up the package.,Setting Alarms
Can you set an alarm for 5:00 PM sharp?,Setting Alarms
"Set an alarm for 4:30 AM, just to be sure.",Setting Alarms
I need a reminder for 11:00 PM to finish my homework.,Setting Alarms
Set an alarm at 7:15 AM on the weekend.,Setting Alarms
"Please wake me at 8:00 AM sharp, no snooze.",Setting Alarms
"Set the alarm for 1:30 PM, for an important call.",Setting Alarms
"Set an alarm for today at 2 PM, make sure it's loud!",Setting Alarms
Can you set a wake-up alarm for 10 AM tomorrow? Don’t forget!,Setting Alarms
Please wake me up at 5:30 PM for my meeting.,Setting Alarms
Can you set an alarm at 6:00 PM on Thursday?,Setting Alarms
Set an alarm for 6:00 AM,Setting Alarms
Can you wake me up at 8 AM tomorrow?,Setting Alarms
"I need an alarm for 7:30 in the morning, please.",Setting Alarms
Please set an alarm for 3 PM on Friday.,Setting Alarms
Wake me up at noon tomorrow.,Setting Alarms
Can you remind me at 5 PM today?,Setting Alarms
Set an alarm for 9:15 AM next Tuesday.,Setting Alarms
Please wake me up at 7 AM tomorrow morning.,Setting Alarms
"Set an alarm for 10:30 in the morning, but only on weekdays.",Setting Alarms
Remind me at 6:45 PM to pick up the package.,Setting Alarms
Can you set an alarm for 5:00 PM sharp?,Setting Alarms
"Set an alarm for 4:30 AM, just to be sure.",Setting Alarms
I need a reminder for 11:00 PM to finish my homework.,Setting Alarms
Set an alarm at 7:15 AM on the weekend.,Setting Alarms
"Please wake me at 8:00 AM sharp, no snooze.",Setting Alarms
"Set the alarm for 1:30 PM, for an important call.",Setting Alarms
"Set an alarm for today at 2 PM, make sure it's loud!",Setting Alarms
Can you set a wake-up alarm for 10 AM tomorrow? Don’t forget!,Setting Alarms
Please wake me up at 5:30 PM for my meeting.,Setting Alarms
Can you set an alarm at 6:00 PM on Thursday?,Setting Alarms
Please wake me at 6:00 AM tomorrow.,Setting Alarms
Set an alarm for 9 AM tomorrow.,Setting Alarms
Can you remind me at 7:00 PM?,Setting Alarms
Wake me up at 4 PM tomorrow.,Setting Alarms
Set an alarm at 8:00 AM on Monday.,Setting Alarms
Set a reminder at 3:00 PM today.,Setting Alarms
Can you wake me up at 9:30 AM tomorrow?,Setting Alarms
Set an alarm for 10:45 AM tomorrow.,Setting Alarms
Remind me at 2:15 PM about the meeting.,Setting Alarms
Please set an alarm for 1 PM today.,Setting Alarms
Can you remind me at 8:30 AM tomorrow?,Setting Alarms
